id_empleado,id_trabajo,id_demografia,id_tiempo,id_soporte,nivel_estres,balance_work_life,productividad,indice_bienestar,accede_soporte,satisfaccion_laboral,fecha_registro
3998b224ba0821f8,1,1,49,5,3,3,3,6.0,False,3,
aa6ae473cfca9b6f,2,2,49,5,3,3,3,6.0,False,3,
cf34f9da75048578,3,3,49,5,3,3,3,6.0,False,3,
24139704e6fe6784,4,4,49,1,5,3,3,4.67,True,3,
bb888d24e0e1694b,5,5,49,1,5,3,3,4.67,True,3,
2041217424be9bfd,6,6,49,5,5,3,3,4.67,False,3,
711553812c198124,2,2,49,1,1,3,3,7.33,True,3,
f8fc40e0b35648b6,8,3,49,5,3,3,3,6.0,False,3,
27bfc137beaf88a5,1,1,49,1,5,3,3,4.67,True,3,
7da51c7cf53fd64e,6,10,49,1,1,3,3,7.33,True,3,
876d9f9f80a75e1f,11,11,49,1,5,3,3,4.67,True,3,
88be704b77783465,12,12,49,1,3,3,3,6.0,True,3,
f7d5bc5b118f3f8c,13,13,49,1,5,3,3,4.67,True,3,
97e9cbdac3de3404,14,3,49,5,1,3,3,7.33,False,3,
b008a9503ed07d89,15,11,49,1,5,3,3,4.67,True,3,
36271e6fbf97f04f,16,12,49,5,1,3,3,7.33,False,3,
1cb468db32151d73,17,12,49,5,3,3,3,6.0,False,3,
9d67d6d84ddbaaea,5,1,49,1,1,3,3,7.33,True,3,
47993dfa561c1333,2,11,49,5,5,3,3,4.67,False,3,
d13c0f96d04e736f,13,20,49,5,3,3,3,6.0,False,3,
eb89e75b9a95edfc,21,21,49,5,1,3,3,7.33,False,3,
34c4292d48f4470d,17,3,49,5,3,3,3,6.0,False,3,
281007e0f56b046f,4,12,49,1,1,3,3,7.33,True,3,
1713e859e203112a,5,2,49,5,1,3,3,7.33,False,3,
adbfbb29e92ba670,11,5,49,5,1,3,3,7.33,False,3,
6cd581511a0235fb,26,20,49,5,5,3,3,4.67,False,3,
47bc2e8b970a6407,27,3,49,5,5,3,3,4.67,False,3,
a231caec64e0d36d,27,27,49,5,1,3,3,7.33,False,3,
bcb89918da71a4fe,29,1,49,1,5,3,3,4.67,True,3,
c8c89f84b6ab6590,16,5,49,1,5,3,3,4.67,True,3,
ded49d17a61b6cfb,29,2,49,1,1,3,3,7.33,True,3,
c79cd8f0781d1509,14,3,49,5,3,3,3,6.0,False,3,
94f5db6d36350931,33,3,49,1,3,3,3,6.0,True,3,
f199c48723a804cd,16,5,49,1,3,3,3,6.0,True,3,
8d5d8c5a7b467980,6,4,49,5,3,3,3,6.0,False,3,
e40e7ca4d8c8e759,1,1,49,1,1,3,3,7.33,True,3,
f548d2ca4f26e93b,4,31,49,1,1,3,3,7.33,True,3,
49458a8c05f20997,16,2,49,1,1,3,3,7.33,True,3,
92dbd16bb8011038,29,12,49,1,1,3,3,7.33,True,3,
9e43b75c7115c33b,12,31,49,5,5,3,3,4.67,False,3,
34799e9b8136158c,2,1,49,5,5,3,3,4.67,False,3,
2dae907d6d409152,29,5,49,5,1,3,3,7.33,False,3,
2c9b5176b7a5333c,11,1,49,1,5,3,3,4.67,True,3,
2f7ad32923a260d2,33,13,49,1,3,3,3,6.0,True,3,
0ce563bf5fc2964b,15,6,49,1,5,3,3,4.67,True,3,
a1136b622c21a362,15,5,49,5,3,3,3,6.0,False,3,
787a6e84c8ae77a1,47,20,49,1,3,3,3,6.0,True,3,
057736763feaf4b5,13,27,49,5,5,3,3,4.67,False,3,
